Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Randomise questionnaire elements?,Question Key,Response
1,1.69506E+12,18.09.2023 19:02,1.69506E+12,3,18.09.2023 22:02,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,BEGIN QUESTIONNAIRE,
2,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-month,6
3,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-year,1975
4,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,2_pob,москва
5,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,3_residence,москва
6,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness,правша
7,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness-quantised,1
8,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel,Полная потеря слуха (>90 дБ)
9,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel-quantised,1
10,1.69506E+12,18.09.2023 19:08,1.69506E+12,3,18.09.2023 22:08,142916,9,questionnaire-3kt6,,31725243,fcappoyj,9377336,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1280x682,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,6_hearing-aids,нет
