Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Randomise questionnaire elements?,Question Key,Response
1,1.69644E+12,04.10.2023 16:12,1.69644E+12,3,04.10.2023 19:12,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1872x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,BEGIN QUESTIONNAIRE,
2,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-month,7
3,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-year,1999
4,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,2_pob,г. Тамбов
5,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,3_residence,Москва
6,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness,правша
7,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness-quantised,1
8,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel,II-III степень (41-70 дБ)
9,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel-quantised,3
10,1.69644E+12,04.10.2023 16:16,1.69644E+12,3,04.10.2023 19:16,142916,11,questionnaire-3kt6,,32031091,96dnyyio,9472740,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1857x958,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,6_hearing-aids,да
