Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Randomise questionnaire elements?,Question Key,Response
1,1.69676E+12,08.10.2023 10:38,1.69676E+12,3,08.10.2023 13:38,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,BEGIN QUESTIONNAIRE,
2,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-month,4
3,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-year,1985
4,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,2_pob,Москва
5,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,3_residence,Москва
6,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness,правша
7,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness-quantised,1
8,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel,Полная потеря слуха (>90 дБ)
9,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel-quantised,1
10,1.69676E+12,08.10.2023 10:40,1.69676E+12,3,08.10.2023 13:40,142916,13,questionnaire-3kt6,,32094611,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1519x715,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,6_hearing-aids,нет
