Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Randomise questionnaire elements?,Question Key,Response
1,1.70E+12,09.10.2023 21:33,1.70E+12,3,10.10.2023 00:33,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1872x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,BEGIN QUESTIONNAIRE,
2,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-month,9
3,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,1_dob-year,1979
4,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,2_pob,"Крым, город Керчь"
5,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,3_residence,город Москва
6,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness,правша
7,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,4_handedness-quantised,1
8,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel,IV степень (71-90 дБ)
9,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,5_hearinglevel-quantised,2
10,1.70E+12,09.10.2023 21:38,1.70E+12,3,10.10.2023 00:38,142916,13,questionnaire-3kt6,,32121798,zah3exrn,9498014,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 23.9.1.1006,1920x1080,1855x932,Accepted,,,RSL questionnaire,3,rsl_list2,Not on phone,,Accepted,No,6_hearing-aids,да
