Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Randomise questionnaire elements?,Question Key,Response
18,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,8a_deafness-age,3 år
19,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,9_SL-exposure,3
20,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,10_SL-introduction-path,annet
21,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,10_SL-introduction-path-quantised,5
22,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,11_SL-years,37 år
23,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,12_SL-peers,ja
24,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,12_SL-peers-quantised,1
25,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,13_college,ja
26,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,13_college-quantised,1
27,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,14_deaf-clubs,nei
28,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,14_deaf-clubs-quantised,2
29,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,15_freq-of-use,Hver dag
30,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,15_freq-of-use-quantised,1
31,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,16_preferred-language,både tegnspråk og norsk (skriftlig eller muntlig)
32,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,16_preferred-language-quantised,4
33,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,16_preferred-language-text,
34,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,17_home-language,Muntlig norsk
