Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Randomise questionnaire elements?,Question Key,Response
1,1.70E+12,07.11.2023 13:41,1.70E+12,1,07.11.2023 14:41,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,842x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,BEGIN QUESTIONNAIRE,
2,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,1_dob-month,11
3,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,1_dob-year,1989
4,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,2_pob,TRONDHEIM
5,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,3_residence,TRONDHEIM
6,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,4_handedness,høyrehendt
7,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,4_handedness-quantised,1
8,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,5_hearinglevel,Alvorlig hørselstap (>90 dB)
9,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,5_hearinglevel-quantised,1
10,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,6_hearing-aids,nei
11,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,6_hearing-aids-quantised,2
12,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,6a_CI,nei
13,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,6a_CI-quantised,2
14,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,6b_CIage,
15,1.70E+12,07.11.2023 13:42,1.70E+12,1,07.11.2023 14:42,142915,21,questionnaire-zt1x,,32770975,poeinvlv,9696122,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.61,1280x720,827x606,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,,No,7_deafnessreason,Ingen arv eller sykdom. Bare født og døv
